lat_ori;lon_ori;lat_des;lon_des;Distance;TravelTime;Mode
-6.175579;106.82717;-6.189364;106.873991;7400;22;Car
-6.175579;106.82717;-6.189364;106.873992;7400;19;Motorcycle
-6.175579;106.82717;-6189364;106.87399;7400;59;Bus
-6.175579;106.82717;-6.189364;106.873994;7400;71;Train
-6.175579;106.82717;-6.189364;106.873995;6300;88;Walking
-6.175579;106.82717;-6.189364;106.873996;6600;91;Walking
-6.175579;106.82717;-6.189364;106.873997;6500;93;Walking
-6.175579;106.82717;-6.189364;106.873998;9000;20;Car
-6.175579;106.82717;-6.189364;106.873999;7300;20;Car
-6.175579;106.82717;-6.189364;106.874;9000;18;Motorcycle
-6.175579;106.82717;-6.189364;106.874001;7900;19;Motorcycle
-6.175579;106.82717;-6.255507;106.842801;12500;45;Car
-6.175579;106.82717;-6.255507;106.842802;12100;48;Car
-6.175579;106.82717;-6.255507;106.842803;12200;51;Car
-6.175579;106.82717;-6.255507;106.842804;11700;31;Motorcycle
-6.175579;106.82717;-6.255507;106.842805;12000;30;Motorcycle
-6.175579;106.82717;-6.255507;106.842806;10200;32;Motorcycle
-6.175579;106.82717;-6.255507;106.842807;12500;77;Bus
-6.175579;106.82717;-6.255507;106.842808;12500;75;Bus
-6.175579;106.82717;-6.255507;106.842809;12500;83;Bus
-6.175579;106.82717;-6.255507;106.84281;12500;82;Bus
-6.175579;106.82717;-6.255507;106.842811;12500;66;Bus
-6.175579;106.82717;-6.255507;106.842812;12501;81;Train
-6.175579;106.82717;-6.255507;106.842813;10300;145;Walking
-6.175579;106.82717;-6.255507;106.842814;10400;146;Walking
-6.175579;106.82717;-6.255507;106.842815;10600;150;Walking
-6.175579;106.82717;-6.255507;106.842816;12500;61;Train
-6.175579;106.82717;-6.188281;106.733487;14500;43;Car
-6.175579;106.82717;-6.188281;106.733488;14100;49;Car
-6.175579;106.82717;-6.188281;106.733489;16500;52;Car
-6.175579;106.82717;-6.188281;106.73349;12500;41;Car
-6.175579;106.82717;-6.188281;106.733491;14900;40;Car
-6.175579;106.82717;-6.188281;106.733492;12600;51;Car
-6.175579;106.82717;-6.188281;106.733493;12600;34;Motorcycle
-6.175579;106.82717;-6.188281;106.733494;14100;34;Motorcycle
-6.175579;106.82717;-6.188281;106.733495;14300;33;Motorcycle
-6.175579;106.82717;-6.188281;106.733496;12500;118;Bus
-6.175579;106.82717;-6.188281;106.733497;12500;110;Bus
-6.175579;106.82717;-6.188281;106.733498;12500;107;Bus
-6.175579;106.82717;-6.188281;106.733487;12500;109;Bus
-6.175579;106.82717;-6.188281;106.733487;12500;127;Bus
-6.175579;106.82717;-6.188281;106.733487;12500;98;Bus
-6.175579;106.82717;-6.188281;106.733487;12500;93;Train
-6.175579;106.82717;-6.188281;106.733487;12500;117;Train
-6.175579;106.82717;-6.188281;106.733487;12500;114;Train
-6.175579;106.82717;-6.188281;106.733487;12500;96;Train
-6.175579;106.82717;-6.188281;106.733487;12500;118;Train
-6.175579;106.82717;-6.188281;106.733487;12500;120;Train
-6.175579;106.82717;-6.188281;106.733487;13100;185;Walking
-6.175579;106.82717;-6.188281;106.733487;13600;190;Walking
-6.175579;106.82717;-6.188281;106.733487;13400;190;Walking
-6.175579;106.82717;-6.238976;106.893722;14200;36;Car
-6.175579;106.82717;-6.238976;106.893722;12700;39;Car
-6.175579;106.82717;-6.238976;106.893722;16800;39;Car
-6.175579;106.82717;-6.238976;106.893722;16800;34;Car
-6.175579;106.82717;-6.238976;106.893722;14200;36;Car
-6.175579;106.82717;-6.238976;106.893722;12700;38;Car
-6.175579;106.82717;-6.238976;106.893722;12400;29;Motorcycle
-6.175579;106.82717;-6.238976;106.893722;13900;28;Motorcycle
-6.175579;106.82717;-6.238976;106.893722;14500;29;Motorcycle
-6.175579;106.82717;-6.238976;106.893722;14200;74;Bus
-6.175579;106.82717;-6.238976;106.893722;14200;97;Bus
-6.175579;106.82717;-6.238976;106.893722;14200;77;Bus
-6.175579;106.82717;-6.238976;106.893722;14200;84;Bus
-6.175579;106.82717;-6.238976;106.893722;14200;85;Bus
-6.175579;106.82717;-6.238976;106.893722;14200;91;Bus
-6.175579;106.82717;-6.238976;106.893722;14200;74;Train
-6.175579;106.82717;-6.238976;106.893722;14200;77;Train
-6.175579;106.82717;-6.238976;106.893722;14200;89;Train
-6.175579;106.82717;-6.238976;106.893722;14200;113;Train
-6.175579;106.82717;-6.238976;106.893722;14200;74;Train
-6.175579;106.82717;-6.238976;106.893722;14200;74;Train
-6.175579;106.82717;-6.238976;106.893722;1200;169;Walking
